customer_key,name,address,nation,region,phone_number,account_balance,market_segment
1,Customer#000000001,"IVhzIApeRb ot,c,E",MOROCCO,AFRICA,25-989-741-2988,711.56,BUILDING
2,Customer#000000002,"XSTf4,NCwDVaWNe6tEgvwfmRchLXak",JORDAN,MIDDLE EAST,23-768-687-3665,121.65,AUTOMOBILE
3,Customer#000000003,MG9kdTD2WBHm,ARGENTINA,AMERICA,11-719-748-3364,7498.12,AUTOMOBILE
4,Customer#000000004,XxVSJsLAGtn,EGYPT,MIDDLE EAST,14-128-190-5944,2866.83,MACHINERY
5,Customer#000000005,KvpyuHCplrB84WgAiGV6sYpZq7Tj,CANADA,AMERICA,13-750-942-6364,794.47,HOUSEHOLD
6,Customer#000000006,"sKZz0CsnMD7mp4Xd0YrBvx,LREYKUWAh yVn",SAUDI ARABIA,MIDDLE EAST,30-114-968-4951,7638.57,AUTOMOBILE
7,Customer#000000007,TcGe5gaZNgVePxU5kRrvXBfkasDTea,CHINA,ASIA,28-190-982-9759,9561.95,AUTOMOBILE
8,Customer#000000008,"I0B10bB0AymmC, 0PrRYBCP1yGJ8xcBPmWhl5",PERU,AMERICA,27-147-574-9335,6819.74,BUILDING
9,Customer#000000009,xKiAFTjUsCuxfeleNqefumTrjS,INDIA,ASIA,18-338-906-3675,8324.07,FURNITURE
10,Customer#000000010,6LrEaV6KR6PLVcgl2ArL Q3rqzLzcT1 v2,ETHIOPIA,AFRICA,15-741-346-9870,2753.54,HOUSEHOLD
11,Customer#000000011,PkWS 3HlXqwTuzrKg633BEi,UNITED KINGDOM,EUROPE,33-464-151-3439,-272.6,BUILDING
12,Customer#000000012,9PWKuhzT4Zr1Q,JORDAN,MIDDLE EAST,23-791-276-1263,3396.49,HOUSEHOLD
13,Customer#000000013,nsXQu0oVjD7PM659uC3SRSp,CANADA,AMERICA,13-761-547-5974,3857.34,BUILDING
14,Customer#000000014,"KXkletMlL2JQEA ",ARGENTINA,AMERICA,11-845-129-3851,5266.3,FURNITURE
15,Customer#000000015,"YtWggXoOLdwdo7b0y,BZaGUQMLJMX1Y,EC,6Dn",UNITED KINGDOM,EUROPE,33-687-542-7601,2788.52,HOUSEHOLD
16,Customer#000000016,"cYiaeMLZSMAOQ2 d0W,",IRAN,MIDDLE EAST,20-781-609-3107,4681.03,FURNITURE
17,Customer#000000017,izrh 6jdqtp2eqdtbkswDD8SG4SzXruMfIXyR7,BRAZIL,AMERICA,12-970-682-3487,6.34,AUTOMOBILE
18,Customer#000000018,3txGO AiuFux3zT0Z9NYaFRnZt,FRANCE,EUROPE,16-155-215-1315,5494.43,BUILDING
